match,player_name,player_team,market,line,over_price,agency,under_price
Baltimore Ravens v Detroit Lions,Derrick Henry,Baltimore Ravens,Rushing Yards,86.5,1.869,Pinnacle,1.869
Baltimore Ravens v Detroit Lions,Jahmyr Gibbs,Detroit Lions,Rushing Yards,55.5,1.826,Pinnacle,1.917
Baltimore Ravens v Detroit Lions,Lamar Jackson,Baltimore Ravens,Rushing Yards,42.5,1.862,Pinnacle,1.877
Carolina Panthers v Atlanta Falcons,Bijan Robinson,Atlanta Falcons,Rushing Yards,80.5,1.763,Pinnacle,2.04
Carolina Panthers v Atlanta Falcons,Bryce Young,Carolina Panthers,Rushing Yards,13.5,1.724,Pinnacle,2.04
Carolina Panthers v Atlanta Falcons,Chuba Hubbard,Carolina Panthers,Rushing Yards,56.5,2.01,Pinnacle,1.787
Carolina Panthers v Atlanta Falcons,Michael Penix,NA,Rushing Yards,5.5,1.877,Pinnacle,1.862
Carolina Panthers v Atlanta Falcons,Rico Dowdle,Carolina Panthers,Rushing Yards,14.5,1.625,Pinnacle,2.19
Carolina Panthers v Atlanta Falcons,Tyler Allgeier,Atlanta Falcons,Rushing Yards,43.5,1.952,Pinnacle,1.833
Chicago Bears v Dallas Cowboys,Caleb Williams,Chicago Bears,Rushing Yards,26.5,1.819,Pinnacle,1.917
Chicago Bears v Dallas Cowboys,D'Andre Swift,Chicago Bears,Rushing Yards,49.5,1.869,Pinnacle,1.869
Chicago Bears v Dallas Cowboys,Javonte Williams,Dallas Cowboys,Rushing Yards,64.5,1.869,Pinnacle,1.869
Cleveland Browns v Green Bay Packers,Josh Jacobs,Green Bay Packers,Rushing Yards,76.5,1.8,Pinnacle,2
Cleveland Browns v Green Bay Packers,Quinshon Judkins,Cleveland Browns,Rushing Yards,42.5,1.934,Pinnacle,1.862
Cleveland Browns v Green Bay Packers,Quinshon Judkins,Cleveland Browns,Rushing Yards,42.5,1.934,Pinnacle,1.862
Cleveland Browns v Green Bay Packers,Quinshon Judkins,Cleveland Browns,Rushing Yards,42.5,1.934,Pinnacle,1.862
Cleveland Browns v Green Bay Packers,Quinshon Judkins,Cleveland Browns,Rushing Yards,42.5,1.934,Pinnacle,1.862
Jacksonville Jaguars v Houston Texans,C.J. Stroud,Houston Texans,Rushing Yards,18.5,2.1,Pinnacle,1.68
Jacksonville Jaguars v Houston Texans,Nick Chubb,Houston Texans,Rushing Yards,48.5,1.769,Pinnacle,2.04
Jacksonville Jaguars v Houston Texans,Travis Etienne,Jacksonville Jaguars,Rushing Yards,56.5,2.06,Pinnacle,1.746
Jacksonville Jaguars v Houston Texans,Trevor Lawrence,Jacksonville Jaguars,Rushing Yards,10.5,1.806,Pinnacle,1.943
Los Angeles Chargers v Denver Broncos,Bo Nix,Denver Broncos,Rushing Yards,20.5,1.746,Pinnacle,2.01
Los Angeles Chargers v Denver Broncos,J.K. Dobbins,Denver Broncos,Rushing Yards,50.5,1.869,Pinnacle,1.869
Los Angeles Chargers v Denver Broncos,Justin Herbert,Los Angeles Chargers,Rushing Yards,20.5,1.694,Pinnacle,2.09
Los Angeles Chargers v Denver Broncos,Najee Harris,Los Angeles Chargers,Rushing Yards,26.5,1.869,Pinnacle,1.869
Los Angeles Chargers v Denver Broncos,Omarion Hampton,Los Angeles Chargers,Rushing Yards,40.5,1.99,Pinnacle,1.757
Los Angeles Chargers v Denver Broncos,RJ Harvey,Denver Broncos,Rushing Yards,24.5,2.12,Pinnacle,1.666
Minnesota Vikings v Cincinnati Bengals,Chase Brown,Cincinnati Bengals,Rushing Yards,69.5,1.862,Pinnacle,1.925
